Tweets,Celebrity,Twitter handle,Cloudinary Picture,Category
"had the weirdest, scariest, most bizarre dreams ever last night. wow. One of them was me trapped in a room with Kevin Jonas and an alien.",Ariana Grande,@ArianaGrande,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952141/ArianaGrande.jpg,Musicians
is going to sleep after watching Saw 4 with Mamma. Those movies are so brilliant!! Have sweet dreams and no nightmares about Jigsaw! ha! :],Ariana Grande,@ArianaGrande,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952141/ArianaGrande.jpg,Musicians
Pumpkin Pie bubble bath.....sighhh... I love Philosophy. :],Ariana Grande,@ArianaGrande,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952141/ArianaGrande.jpg,Musicians
How many ladies aint scared 2 fart in front of ur man?,Ashanti,@ashanti,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952232/ashanti.jpg,Musicians
"Woops. Got wasted last night and drunk texted $15,000 in donations to Haiti relief efforts.",Aziz Ansari,@azizansari,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952338/azizansari.jpg,Comedians
"Gun violence requires more than moments of silence. It requires action. In failing that test, the Senate failed the American people.",Barack Obama,@BarackObama,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952431/BarackObama.jpg,Politicians
"Been waiting to drop this: summer playlist, the encore. What's everybody listening to?",Barack Obama,@BarackObama,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952431/BarackObama.jpg,Politicians
We could eliminate tuition at every public college and university in America with the $80 billion we spend each year on incarcerations.,Barack Obama,@BarackObama,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952431/BarackObama.jpg,Politicians
"Today is a big step in our march toward equality. Gay and lesbian couples now have the right to marry, just like anyone else. #LoveWins",Barack Obama,@BarackObama,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952431/BarackObama.jpg,Politicians
"Thank you for everything. My last ask is the same as my first. I'm asking you to believe—not in my ability to create change, but in yours.",Barack Obama,@BarackObama,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952431/BarackObama.jpg,Politicians
No one is born hating another person because of the color of his skin or his background or his religion...,Barack Obama,@BarackObama,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952431/BarackObama.jpg,Politicians
Sorry for being so quiet last couple of days; we've been busy building our bunker. Armageddon outta here!!!,Bette Midler,@BetteMidler,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952673/BetteMidler.jpg,Comedians
"Kim Kardashian tweeted a nude selfie today. If Kim wants us to see a part of her we've never seen, she's gonna have to swallow the camera.",Bette Midler,@BetteMidler,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952673/BetteMidler.jpg,Musicians
Not ashamed to admit I am at my most comfortable and confident walking around a mall.,Billy Eichner,@billyeichner,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953042/billyeichner.jpg,Comedians
Does anyone think global warming is a good thing? I love Lady Gaga. I think she's a really interesting artist.,Britney Spears,@britneyspears,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953183/britneyspears.jpg,Musicians
"PS - Star Magazine, Radar Online, Jason Alexander and the rest of you liars, Ya'll can kiss my lily white southern Louisiana ass!",Britney Spears,@britneyspears,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953183/britneyspears.jpg,Musicians
"Go call the po-lice, Go Call The Gu-vunah! Someone tell Congress to get to #WorkBxxCH",Britney Spears,@britneyspears,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953183/britneyspears.jpg,Musicians
"Snake update: I've heard she's alive and well, and that her name is Banana! This makes me smile :)",Britney Spears,@britneyspears,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953183/britneyspears.jpg,Musicians
#Recording a song 4 All My Boys :),Britney Spears,@britneyspears,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953183/britneyspears.jpg,Musicians
"My daughter recently started calling me ""mommy"". So now I call her ""unc"". See how she likes it.",Chance The Rapper,@chancetherapper,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953282/chancetherapper.jpg,Musicians
fastball. the trolls are foaming from their toothless holes. rumor mill abundant with evil gossip. mainstream heretics smirking.,Charlie Sheen,@charliesheen,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953525/charliesheen.jpg,Movie Stars
Whats going on with mycareer,Cher,@cher,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953677/cher.jpg,Musicians
"Going dentist.EVERYONE SHOULD BOYCOTT WALL MART ! They R BIGGEST SELLER OF GUNS IN U.S ! Pick Up Milk,Pick Up BULLETS. Shop TARGET.RT RT RT",Cher,@cher,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953677/cher.jpg,Musicians
I was looking at tweets & saw that i really hurt someones feelings ! Im sorry. It was light blue background with white egg shape . Bye,Cher,@cher,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953677/cher.jpg,Musicians
Don't know how to utube,Cher,@cher,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953677/cher.jpg,Musicians
"ipad freezing up! Maybe it's overwhelmed,because it Just realized A Fabulous DIVA Was touching it ! Can't really Blame it, ""SNAP OUT OF IT""",Cher,@cher,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953677/cher.jpg,Musicians
"""Chivalry ain't dead""",Chris Brown,@chrisbrown,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953815/chrisbrown.jpg,Musicians
Why's it called a snickerdoodle? And who's the person who came up with that name? I bet he was a real asshole.,Chris Pratt,@prattprattpratt,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953946/prattprattpratt.jpg,Movie Stars
Just realized I am at a Starbucks inside a trump building. I knew it smelled psychotic and racist here.,Chrissy Teigen,@chrissyteigen,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954106/chrissyteigen.jpg,Socialite
well i am going to bed because snoop noticed a tweet of mine where i only used one g in dogg and i'm mortified,Chrissy Teigen,@chrissytelgen,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954106/chrissyteigen.jpg,Socialite
Is there an emoji for crying in the fetal position whilst eating pizza? Asking for a friend,Christina Applegate,@1capplegate,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954322/1capplegate.jpg,Movie Stars
Just taught my kids about taxes by eating 38% of their ice cream.,Conan O'Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
"Just think, we’ll be able to tell our grandchildren, “I remember the day President Trump tweeted the nuclear launch codes.”",Conan O'Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,TV Stars
I heard the iPhone 15 won't have any ports or jacks or a screen and it will just be a smooth steel ball and finally we'll all be happy.,Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
Remember when all we had to worry about was Ebola? Good times.,Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
"You call it day drinking, I call it something unintelligible because I’m day drinking.",Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
"There are three ways to cook a hot dog: Boil, grill, and, I just discovered by accident, dry clean.",Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
Has anyone ever bothered to suggest to Amazon what it might like?,Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
I just completed 100 push-ups. (I started last November.),Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
I think the Russians' ability to hack the internet is vastly overrat-Конан О'Брайен - такой мудак,Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
Our country was founded by people who were mad at King George because he refused to show us his taxation statements.,Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
"Today, we Americans celebrate our independence from Britain while planning our escape to Canada.",Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
"Am I too late for a Mathew McConaughey ""alt-right, alt-right, alt-right"" tweet?",Conan O’Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
"A lot can happen in 5 years but for some refugee kids, nothing has changed. Don't forget about them.",Cristiano Ronaldo,@Cristiano,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954577/Cristiano.jpg,Athletes
"TB one year ago, at the opening of my first hotel!",Cristiano Ronaldo,@Cristiano,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954577/Cristiano.jpg,Athletes
"I’m always looking for ways to be healthier, faster, and stronger. What are you doing to better yourself?…",Cristiano Ronaldo,@Cristiano,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954577/Cristiano.jpg,Athletes
Recover stronger with a combination of carbs and protein to aid in muscle repair.,Cristiano Ronaldo,@Cristiano,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954577/Cristiano.jpg,Athletes
Pick your skill level. Master it. Do it again.,Cristiano Ronaldo,@Cristiano,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954577/Cristiano.jpg,Athletes
There are men who have scaled Everest who wouldnt dare to travel with two kids under 3. #warrior #dadbeast,Dax Shepard,@daxshepard1,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954700/daxshepard1.jpg,Comedians
"It's true, I'm in North Korea. Looking forward to sitting down with Kim Jung Un. I love the people of North Korea. #WORMinNorthKorea",Dennis Rodman,@dennisrodman,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954894/dennisrodman.jpg,Athletes
Get Taylor Swift A Booty,Diplo,@diplo,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955036/diplo.jpg,Musicians
It’s freezing and snowing in New York—we need global warming!,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
This election is a total sham and a travesty. We are not a democracy!,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
My twitter has become so powerful that I can actually make my enemies tell the truth.,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
"Sorry losers and haters, but my I.Q. is one of the highest -and you all know it! Please don’t feel so stupid or insecure, it’s not your fault",Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
".@katyperru I watched Russell Brand and think his mind is fried – he looks really bad. Russel is a total joje, a dummy who is lost!",Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
Is it the Neil Patrick Harris show or the Emmy Awards?How was he ever put in this position to start with? CRAZY!,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
An ‘extremely credible source’ has called my office and tole me that @BarackObama’s birth certificate is a fraud.,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
".@AlexSalmond, Wind turbines are ripping your country apart and killing tourism. Electric bills in Scotland are skyrocketing-stop the madness",Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
I am being proven right about massive vaccinations -the doctors lied. Save our children & their future.,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
"If Obama resigns from office NOW, thereby doing a great service to the country – I will give him free lifetime golf at any one of my courses!",Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
Trully weird Senator Rand Paul of Kentucky reminds me of a spoiled brat without a properly functioning brain. He was terrible at DEBATE!,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
"Remember, new “environment friendly” lightbulbs can cause cancer. Be carefull—the idiots who came up with this stuff don’t care.",Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
"Everyone knows I am right that Robert Pattinson should dump Kristen Stewart. In a couple of years, he will thank me. Be smart, Robert.",Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
I have never seen a thin person drinking Diet Coke.,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
Amazing how the haters & losers keep tweeting the name “F**kface Von Clownstick” like they are so original & like no one else is doing it...,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
MAKE AMERICA GREAT AGAIN!,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
Thanks- many are saying I'm the best 140 character writer in the world. It's easy when it's fun.,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
Despite the negative press covfefe,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
Robert Pattinson should not take back Kristen Stewart. She cheated on him like a dog & will do it again--just watch. He can do much better!,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
.@katyperry must have been drunk when she married Russell Brand @rustyrockets – but he did send me a really nice letter of apology!,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Politicians
"I attended multiple high schools in 4yrs. Hawaii, Nashville and Pennsylvania. Everyone thought I was an undercover narc. True Story.",Dwayne Johnson,@TheRock,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955478/TheRock.jpg,Movie Stars
Fired up! Named FORBES TOP GROSSING ACTOR OF 2013 ($1.3 billion). THANK YOU! #GratefulMan #TequilaTime,Dwayne Johnson,@TheRock,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955478/TheRock.jpg,Movie Stars
Man I love socks,Dylan O'Brien,@dylanobrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955686/dylanobrien.jpg,Movie Stars
Watching my friends kill my other friends on tv scares #hungergames,Dylan O'Brien,@dylanobrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955686/dylanobrien.jpg,Movie Stars
Alicia Keys would kick my assssss,Dylan O'Brien,@dylanobrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955686/dylanobrien.jpg,Movie Stars
Ed Balls,Ed Balls,@edballs,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955792/edballs.jpg,Politicians
"Some IDIOTS out there I swear, wouldn't know music even if it was a half naked gorilla in a tutu lickin there ear and saying 'i'm music'",Ed Sheeran,@edsheeran,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955885/edsheeran.jpg,Musicians
I dont trust the eggs at mcdonalds. i'm pretty sure they never came out of a chicken,Ed Sheeran,@edsheeran,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955885/edsheeran.jpg,Musicians
"If anyone says 'question?' to you and the first you do isn't break into singing Destinys Child, we can't be friends",Ed Sheeran,@edsheeran,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955885/edsheeran.jpg,Musicians
"If hagirds das was a muggle, and hagrids mum was a giant. How the hell was hagrid conceived? Discuss",Ed Sheeran,@edsheeran,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955885/edsheeran.jpg,Musicians
"GQ worst dressed 2012 to 2016 cover, i am wearing a hoodie as i type this #inspiration #hashtag",Ed Sheeran,@edsheeran,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955885/edsheeran.jpg,Musicians
"Welcome to the world, Ella and Alexander Clooney. Congratulations, George and Amal, or as I’m now calling you, Ocean’s Four.",Ellen DeGeneres,@TheEllenShow,http://res.cloudinary.com/dgtihmi68/image/upload/v1503960436/TheEllenShow.jpg,Comedians
"If Popeye were dating Pink, then people would call them Pinkeye.",Ellen DeGeneres,@TheEllenShow,http://res.cloudinary.com/dgtihmi68/image/upload/v1503960436/TheEllenShow.jpg,Comedians
I just invested in an eclipse sunglass company. Does anyone know when the next one is?,Ellen DeGeneres,@TheEllenShow,http://res.cloudinary.com/dgtihmi68/image/upload/v1503960436/TheEllenShow.jpg,TV Stars
If only Bradley's arm was longer. Best photo ever. #oscars,Ellen DeGeneres,@TheEllenShow,http://res.cloudinary.com/dgtihmi68/image/upload/v1503960436/TheEllenShow.jpg,TV Stars
"""I'm over trying to find the ""adorable"" way to state my opinion"".",Emma Watson,@EmmaWatson,http://res.cloudinary.com/dgtihmi68/image/upload/v1503960559/EmmaWatson.jpg,Movie Stars
I just got rid of my sofa and replaced it with a ping pong table. I think this is the best decision I have made in months.#gameon!,Emma Watson,@EmmaWatson,http://res.cloudinary.com/dgtihmi68/image/upload/v1503960559/EmmaWatson.jpg,Movie Stars
These days women look at my naked body in the same fearful way that pensioners look at snow,Frankie Boyle,@frankieboyle,http://res.cloudinary.com/dgtihmi68/image/upload/v1503960660/frankieboyle.jpg,Comedian
@TheRock Aloha big guy!! miss you double!! I will bring the shawarma if you will treat me for a workout... Gotta burn those carbs..,Gal Gadot,@GalGadot,http://res.cloudinary.com/dgtihmi68/image/upload/v1503960925/GalGadot.jpg,Movie Stars
All the love as always. H,Harry Styles,@Harry_Styles,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961011/Harry_Styles.jpg,Musicians
Delete your account. ,Hillary Clinton,@HillaryClinton,http://res.cloudinary.com/dgtihmi68/image/upload/v1503782343/HillaryClinton.jpg,Politicians
How does your student loan debt make you feel? Tell us in 3 emojis or less.,Hillary Clinton,@HillaryClinton,http://res.cloudinary.com/dgtihmi68/image/upload/v1503782343/HillaryClinton.jpg,Politicians
First tweet of My life,Hulk Hogan,@HulkHogan,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961786/HulkHogan.jpg,TV Stars
"Well, there you have it. A highly intelligent, experienced woman just debated a giant orange Twitter egg. Your move, America. #debate",J.K. Rowling,@jk_rowling,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961879/jk_rowling.jpg,Authors
They see me Rowlin' They hatin',J.K. Rowling,@jk_rowling,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961879/jk_rowling.jpg,Authors
God Blees My Failed Relationships.,Jaden Smith,@officialjaden,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961959/officialjaden.jpg,Movie Stars
And Yes I Will Be Dropping A K Pop Single In The Next 4 Months.,Jaden Smith,@officialjaden,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961959/officialjaden.jpg,Movie Stars
If Everybody in The World Dropped Out of School We Would Have A Much More Intelligent Society,Jaden Smith,@officialjaden,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961959/officialjaden.jpg,Movie Stars
"Home Is Any Place That Has a Bed, A TV, And You,",Jaden Smith,@officialjaden,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961959/officialjaden.jpg,Movie Stars
"When Life Gives You Big Problems, Just Be Happy You Forgot All Your Little Problems.",Jaden Smith,@officialjaden,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961959/officialjaden.jpg,Movie Stars
"God Bless The Media, If We Didn't Have It, Who Would You Judge To Make Yourself Feel Better.",Jaden Smith,@officialjaden,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961959/officialjaden.jpg,Movie Stars
Tweets Are Like Tattoos.,Jaden Smith,@officialjaden,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961959/officialjaden.jpg,Movie Stars
"When You Party I'm On The Treadmill,When You Sleep I'm On The Treadmill, When I Tweet I'm On TheTreadmill. Remember This",Jaden Smith,@officialjaden,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961959/officialjaden.jpg,Movie Stars
How Can Mirrors Be Real If Our Eyes Aren't Real,Jaden Smith,@officialjaden,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961959/officialjaden.jpg,Movie Stars
If you thought 2016 was bad - I'm releasing an album in 2017.,James Blunt,@JamesBlunt,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962056/JamesBlunt.jpg,Musicians
ryan seacrest told me I had to get on Twitter. So here I am. First tweet. I feel younger already.,James Cameron,@JimCameron,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962142/JimCameron.jpg,Politicians
"The air here in Shanghai, China is windy and polluted. ...Nevermind ...I just farted.",Jason Mraz,@jason_mraz,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962227/jason_mraz.jpg,Musicians
Got Bin Laden AND interrupted Celebrity Apprentice? Win for Obama all around.,Jimmy Fallon,@jimmyfallon,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962284/jimmyfallon.jpg,Comedians
lubricant? I say lubriCAN!,Jimmy Kimmell,@jimmykimmel,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962335/jimmykimmel.jpg,TV Stars
Madonna's new boyfriend is 26!?! That's the same age as her pacemaker.,Joan Rivers,@Joan_Rivers,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962405/Joan_Rivers.jpg,Comedian
Today is my waxer's birthday. What do you get for the woman who removes everything?,Joan Rivers,@Joan_Rivers,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962405/Joan_Rivers.jpg,Comedian
"A study says owning a dog makes you 10 years younger. My first thought was to rescue 2 more, but I don’t want to go through menopause again.",Joan Rivers,@Joan_Rivers,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962405/Joan_Rivers.jpg,Comedian
I cry because I love Justin Bieber!!!,Joe Jonas,@joejonas,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962466/joejonas.jpg,Musicians
